id,dist,mag,absmag,spect,x,y,z
327744,389.9333,8.72,0.765,A0,52.406,127.798,364.649
327778,563.8721,8.41,-0.346,M3III,92.277,225.09,508.696
327780,209.0896,5.07,-1.532,B2 IV/V,56.126,136.91,-147.729
327799,141.2245,8.16,2.41,A2 IV/V,50.057,122.134,-50.22
327830,162.7155,6.99,0.933,K0,43.923,107.203,114.257
327837,147.5971,7.02,1.175,F3/5 II,42.1173,102.8056,-97.1703
327846,235.2993,7.32,0.462,K2 III,71.35,174.176,-141.2
327863,156.7398,8.55,2.574,F8,26.586,64.909,140.169
327918,46.5065,7.03,3.692,F 6 V,17.309,42.284,8.676
327939,259.2067,8.03,0.962,G5,72.989,178.343,173.362
327952,745.3731,9.61,0.248,B8,165.732,404.982,603.41
327960,55.6296,8.59,4.863,F5,17.13,41.863,32.383
327974,88.2753,9.2,4.471,G2 V,25.913,63.333,-55.767
327976,320.9943,8.3,0.768,K0 IV,110.182,269.299,-135.556
328001,114.4593,9.61,4.317,G2/3 V,30.101,73.588,-82.339
328012,254.3562,8.94,1.913,A2/3 III,68.948,168.571,-177.558
328024,263.7951,8.8,1.694,A0,39.693,97.058,242.058
328026,411.7461,8.77,0.697,G8 III,121.554,297.236,-257.702
328027,238.7197,7.95,1.061,A3 III,90.019,220.131,-20.643
328061,82.4851,9.27,4.688,G3 V,23.959,58.608,-52.867
328071,104.267,6.78,1.689,G5,39.175,95.838,12.33
328085,45.722,8.26,4.959,G3 V,12.154,29.738,-32.533
328091,664.3918,8.29,-0.822,M3/4 III,202.709,496.018,-392.799
328115,73.5448,9.68,5.347,G8 V,20.761,50.811,-48.949
328131,175.2209,6.28,0.062,M3III,63.973,156.604,45.661
328141,369.4952,7.76,-0.078,K0,47.009,115.088,347.954
328154,287.0667,7.86,0.57,A3,107.655,263.582,36.636
328175,358.6015,8.87,1.097,K0 III,135.394,331.559,18.233
328196,131.3103,7.87,2.279,A3MA5-A8,9.782,23.961,-128.735
328234,116.1184,8.17,2.845,F5,42.4482,103.9926,29.4457
328237,58.7187,8.7,4.856,G0,21.764,53.321,11.45
328248,68.1663,12.38,8.212,M2V:,25.743,63.075,2.329
328266,118.9207,9.4,4.024,F7 V,42.358,103.809,-39.644
328276,166.7413,7.07,0.96,K 2 III,57.831,141.746,66.077
328278,104.8763,7.81,2.707,K0 III,39.475,96.757,-8.885
328290,532.3038,9.33,0.699,G6 III,105.105,257.658,-453.776
328302,577.5183,8.87,0.062,G8 III,192.856,472.833,-269.746
328308,694.4444,7.49,-1.718,K0 III,212.768,521.707,-405.961
328320,46.0628,8.59,5.273,G5,16.33,40.047,15.855
328332,140.6051,9.58,3.84,F5 V,38.079,93.389,-97.97
328334,279.0838,7.82,0.591,G5,104.479,256.245,36.199
328339,389.1257,7.85,-0.1,K3/4 III,22.309,54.716,-384.613
328344,36.4907,8.55,5.739,G5,12.483,30.617,15.439
328437,177.601,7.47,1.223,A8/9 V,58.6703,144.0185,-85.7822
328500,69.0858,9.06,4.863,K 0 V,22.265,54.686,35.869
328514,130.1548,7.01,1.438,A7 III,24.71,60.698,-112.452
328523,216.3939,9.24,2.564,F8,80.829,198.563,29.424
328525,295.3289,6.25,-1.102,B 8 V,85.284,209.508,189.874
328542,186.2965,8.38,2.029,G8 IV,69.998,172.005,14.861
328554,98.1427,6.25,1.291,A2/3 V,35.947,88.339,-23.151
328596,243.7059,8.6,1.666,K0,71.624,176.089,152.497
328622,49.3177,7.78,4.315,F 8 V,18.0321,44.3469,11.8509
328657,94.3351,8.36,3.487,F5 V,30.227,74.358,-49.561
328658,250.8753,7.85,0.853,A9 IV,79.663,195.969,-134.864
328663,1187.8509,11.47,1.096,B 9 V,414.075,1018.692,449.219
328719,260.1558,9.28,2.204,F2,20.716,50.988,254.268
328726,130.6315,8.21,2.63,F8,38.928,95.819,79.799
328748,146.5496,7.91,2.08,F2 V,44.67,109.977,-85.944
328757,578.9884,9.57,0.757,G5,216.228,532.41,-70.8
328768,95.6392,7.51,2.607,A0,33.161,81.661,37.131
328771,78.2234,7.56,3.093,F3 V,25.0881,61.7828,-40.8944
328781,154.5726,8.4,2.454,F 2 V,50.398,124.12,77.116
328799,35.0779,9.53,6.805,K2,12.5696,30.9617,10.6703
328814,704.2024,9.26,0.022,K5,46.578,114.751,-693.227
328890,267.7554,8.53,1.391,F8,56.442,139.16,221.679
328896,980.6595,9.48,-0.478,B5,217.61,536.558,791.483
328922,402.6766,9.18,1.155,G8 IV,151.051,372.544,23.304
328932,122.1808,9.15,3.715,G5 V,42.855,105.702,-43.802
328959,187.0782,8.23,1.87,K0 III,70.255,173.329,-4.416
329006,94.6186,9.26,4.38,F7 V,23.157,57.162,-71.756
329033,228.0294,7.86,1.07,A0 V,78.132,192.9148,-93.1483
329050,127.3259,9.74,4.215,G0,42.992,106.178,55.587
329060,182.8009,6.68,0.37,B9,68.249,168.586,18.36
329071,323.4216,8.43,0.881,K1 III,20.468,50.563,-318.788
329085,47.6075,6.01,2.622,F4V,17.1817,42.4521,13.0036
329100,45.721,11.02,7.719,K5Ve,16.5265,40.841,12.2176
329107,267.1819,4.91,-2.224,K0/1 III,100.22,247.673,-0.205
329123,392.8974,8.81,0.839,K0 III,70.572,174.435,-344.906
329177,82.7408,8.21,3.621,G3 IV,7.671,18.971,-80.17
329205,122.3062,6.35,0.913,G5,36.7343,90.8631,73.1659
329206,57.3643,7.16,3.367,F6 V,20.98,51.895,-12.546
329207,231.3476,7.65,0.829,K0,28.8367,71.3283,218.1798
329244,266.4192,7.79,0.662,K0/1 IIICNII,99.519,246.294,-20.354
329247,284.41,8.11,0.84,A0 V,88.436,218.877,-158.623
329249,357.3758,6.76,-1.006,M0 III,125.237,309.962,-126.32
329268,891.9609,5.78,-3.972,B0III SB,196.779,487.138,720.811
329296,498.3935,8.52,0.032,G5 III,101.198,250.597,-418.755
329318,340.7868,8.74,1.078,K2 III,53.687,132.973,-309.146
329347,127.0951,8.44,2.919,F0 IV/V,30.611,75.839,-97.286
329350,43.2733,6.37,3.189,F 5 V,16.124,39.949,4.08
329374,885.6692,8.54,-1.196,K5,226.08,560.315,647.568
329386,96.5513,7.42,2.496,K1 IV,31.654,78.459,-46.523
329392,106.1924,8.76,3.63,F8,39.538,98.006,10.41
329397,213.7244,9.69,3.041,F2,78.909,195.6,-34.526
329400,419.758,8.83,0.715,G8 III,34.049,84.405,-409.772
329415,38.826,7.08,4.134,F5,13.501,33.471,14.313
329477,329.1762,9.18,1.593,B 5 V,107.622,266.985,159.666
329478,381.8296,9.31,1.401,G5,70.24,174.251,-332.411
329499,869.5811,10.65,0.953,K 3 IV,280.022,694.84,441.538
329503,143.9919,8.03,2.238,A8/9 V,53.803,133.509,-3.788
329506,729.6035,8.07,-1.245,K1 III,190.125,471.793,-523.054
329551,221.3159,8.99,2.265,G0,35.925,89.197,199.334
329569,42.715,7.83,4.677,G5,3.42,8.492,41.722
