1521,298.0432,7.66,0.289,K3 III,296.475,1.452,-30.504
1581,414.9453,8.68,0.59,G8 III,388.139,1.969,-146.71
1589,63.6542,8.12,4.101,G3 V,63.653,0.325,-0.085
1605,128.687,10.1,4.552,G2,108.221,0.557,-69.629
1638,149.7273,8.67,2.793,F5 V,146.473,0.772,-31.038
1656,36.5756,10.46,7.644,M0,35.493,0.1894,8.8335
1665,134.4673,9.87,4.227,F6/7 V,81.3,0.436,-107.105
1668,168.5189,9.48,3.347,F5 V,156.894,0.842,-61.5
1721,408.2466,8.44,0.385,G0,384.2475,2.1215,137.8947
1741,250.9401,9.88,2.882,F5 IV/V,168.579,0.941,-185.879
1746,299.2668,7.05,-0.33,M1 III,224.178,1.254,-198.251
1756,106.5235,8.29,3.153,F6 V,39.2631,0.221,-99.0234
1782,127.8053,9.34,3.807,F7 V,108.5013,0.619,-67.5369
1790,294.8245,7.73,0.382,F0,96.33,0.551,278.643
1806,242.9828,6.22,-0.708,K0,156.244,0.9,186.085
1831,186.0709,5.53,-0.818,M2 III,118.761,0.692,-143.24
1848,698.5739,8.53,-0.691,K3 II/III,237.486,1.395,-656.966
1907,190.5782,7.23,0.83,F0,189.237,1.145,22.537
1922,51.717,8.61,5.042,K 0 V,39.842,0.242,32.973
1925,38.1085,11.28,8.375,M2,31.488,0.192,21.465
1961,31.4862,10.76,8.269,M1.5V:,30.118,0.188,-9.179
2002,737.3573,8.93,-0.408,A0,483.639,3.086,556.578
2039,117.7856,7.95,2.595,G0IV,101.238,0.657,60.198
2044,252.8695,7.46,0.446,A2 IV,115.1,0.748,-225.154
2066,129.2085,8.6,3.044,F3 V,107.377,0.703,-71.865
2094,551.68,8.55,-0.158,G8 III,164.917,1.095,-526.452
2124,79.2468,9.2,4.705,F7 V,78.174,0.527,-12.984
2146,162.1471,6.82,0.77,K0,115.3,0.785,114.004
2178,504.727,8.29,-0.225,K1 IIICNIV,354.733,2.451,-359.037
2182,234.8621,6.83,-0.024,K1III,206.545,1.429,111.792
2198,64.7044,4.78,0.725,K3 III,14.483,0.101,-63.063
2204,172.2684,7.21,1.029,K0,52.556,0.367,164.055
2237,723.3271,5.58,-3.717,A5II,348.205,2.457,633.995
2239,153.0408,8.7,2.776,F2 V,118.364,0.836,-97.009
2263,328.1063,8.06,0.48,G5,317.457,2.265,82.885
2297,69.7514,6.5,2.282,A(M),19.679,0.142,66.918
2305,192.7589,9.32,2.895,F6 V,191.907,1.392,18.049
2314,470.6156,9.14,0.777,K0 III,404.68,2.954,-240.217
2320,143.5399,8.13,2.345,A 4 V,67.346,0.494,126.759
2337,403.882,10.62,2.589,F0,332.227,2.447,-229.652
2343,179.9433,6.62,0.344,F5 IV,137.54,1.017,-116.023
2350,311.0101,9.96,2.496,A1/2 III,310.94,2.308,-6.187
2365,52.29,8.64,5.048,G5 V,52.288,0.389,-0.199
2377,182.1189,6.6,0.298,K 2 III-IV,166.04,1.242,74.809
2392,335.8914,6.25,-1.381,B 9 IIIP:(HGMN),248.164,1.874,226.35
2417,166.6553,7.83,1.721,K0/1 IV,159.762,1.22,-47.421
2461,1017.3091,10.03,-0.007,B0,389.181,3.025,939.918
2514,113.3884,9.04,3.767,F7 V,42.282,0.335,-105.209
2515,244.5157,8.47,1.528,K5,196.929,1.559,144.93
2516,60.3826,7.33,3.425,K0,24.264,0.192,55.293
2526,373.766,8.66,0.797,K5,89.307,0.71,362.939
2531,43.4051,10.35,7.162,K3,40.394,0.321,15.882
2533,132.1488,8.96,3.355,A9 V,118.974,0.947,-57.512
2536,131.8486,5.13,-0.47,B8 II/III,131.66,1.048,-6.964
2596,817.5589,8.49,-1.073,K5,763.098,6.207,293.336
2654,55.9153,11.26,7.522,K3,50.253,0.419,24.515
2661,226.8455,8.15,1.371,F8,218.557,1.827,60.731
2671,140.9993,7.04,1.294,K1 III,112.262,0.941,-85.307
2684,250.7977,10.02,3.023,F5,221.164,1.87,-118.248
2685,215.0696,8.9,2.237,F8,209.838,1.774,47.117
2687,126.7267,7.78,2.266,F3/5 III,94.7426,0.8021,-84.1601
2717,126.9704,4.37,-1.149,M2 III,126.267,1.08,-13.303
2721,326.1685,9.93,2.363,A2,225.4623,1.933,235.6878
2751,412.2473,8.6,0.524,B 8 V,184.852,1.603,368.477
2774,171.586,8.51,2.338,G8 IV,170.87,1.492,-15.593
2777,172.4768,7.09,0.906,K0 III,136.09,1.19,-105.954
2849,63.9036,6.93,2.902,A8/9 V,63.827,0.569,-3.084
2855,419.3048,8.68,0.567,B9 V,148.419,1.3262,-392.1569
2860,728.0136,8.98,-0.331,K5,605.678,5.417,403.892
2865,325.2394,9.84,2.279,G0,289.473,2.594,148.255
2886,242.2016,8.98,2.059,A3 V,208.281,1.88,-123.601
